iter	Passed	Remaining
0	246	24451
1	320	15727
2	410	13282
3	533	12799
4	640	12163
5	717	11242
6	798	10602
7	872	10030
8	950	9610
9	1025	9228
10	1100	8902
11	1176	8628
12	1258	8419
13	1337	8218
14	1419	8041
15	1492	7835
16	1575	7692
17	1648	7511
18	1727	7365
19	1800	7203
20	1883	7083
21	1957	6941
22	2038	6824
23	2103	6661
24	2178	6536
25	2256	6423
26	2331	6303
27	2404	6183
28	2481	6076
29	2555	5962
30	2633	5861
31	2707	5753
32	2790	5666
33	2864	5561
34	2961	5499
35	3038	5401
36	3118	5310
37	3196	5215
38	3268	5112
39	3335	5003
40	3409	4907
41	3477	4802
42	3550	4707
43	3615	4601
44	3699	4521
45	3772	4428
46	3847	4338
47	3924	4251
48	3996	4159
49	4067	4067
50	4145	3983
51	4218	3894
52	4302	3815
53	4367	3720
54	4447	3638
55	4518	3550
56	4590	3462
57	4650	3367
58	4723	3282
59	4787	3191
60	4866	3111
61	4940	3028
62	5014	2944
63	5080	2857
64	5166	2781
65	5234	2696
66	5304	2612
67	5375	2529
68	5445	2446
69	5506	2359
70	5577	2278
71	5649	2197
72	5729	2119
73	5796	2036
74	5874	1958
75	5936	1874
76	6014	1796
77	6091	1718
78	6169	1639
79	6234	1558
80	6310	1480
81	6371	1398
82	6438	1318
83	6504	1239
84	6586	1162
85	6652	1083
86	6730	1005
87	6801	927
88	6870	849
89	6938	770
90	7011	693
91	7083	615
92	7146	537
93	7221	460
94	7302	384
95	7376	307
96	7458	230
97	7541	153
98	7616	76
99	7685	0
